,names,offers,SF,angle,anthro,circle
0,Aibo,0.6114038781163439,4.578431317966158,1.984,0.6814944209039548,16
1,AlphaDog,0.40044875346260383,8.192783409806463,4.838,1.559327777777778,13
2,Asimo,0.6308793953462605,4.021075726717914,2.068,0.5449519927536233,7
3,Atlas,0.5712132963988924,5.928317441155553,3.165,0.4975510945336183,15
4,Caro-O-bot+4,0.5821052631578943,4.322268887208815,2.099,0.2513935185185185,20
5,Cody,0.41506925207756223,4.892806795013812,2.447,0.6360642156862746,9
6,Cubelets,0.308376731301939,6.323257994631144,3.726,0.9390449579831932,9
7,Da+Vinci,0.3775511357340725,6.7717657306725485,3.981,0.4066207434052757,10
8,Daisy,0.39837673130193935,6.367299270491376,3.46,0.2947567460317459,13
9,K5,0.4182936288088644,4.680470061863445,1.459,0.4150808469308469,8
10,Lego+Mindstorm+NXT,0.5448310249307485,5.621444061211792,3.72,3.693508764367816,11
11,Meca500,0.365238781163435,6.8772464343310045,2.484,2.839699782135076,16
12,Miko2,0.5171498725761771,4.1498273056437744,1.319,1.1045028301886792,17
13,Nao,0.6668105800554021,4.97238373418625,3.07,3.153669298245614,25
14,Pepper,0.5986260387811635,3.816230603467995,1.472,3.302688457008245,1
15,Qbo,0.4932398891966758,3.9400655662903206,1.464,0.5067229166666667,15
16,Roomba,0.42244642659279813,5.078425482888812,2.44,0.4518428882071237,13
17,Sophia,0.7348941828254855,4.191872095695033,1.965,10.652497773536895,4
